name,team,opposition,overs,maidens,runs,wickets,economy,match_id,year
Trent Boult,MI,CSK,4.0,1,18,4,4.50,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Jasprit Bumrah,MI,CSK,4.0,0,25,2,6.25,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Krunal Pandya,MI,CSK,3.0,0,16,0,5.33,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Rahul Chahar,MI,CSK,4.0,0,22,2,5.50,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Nathan Coulter-Nile,MI,CSK,4.0,0,25,1,6.25,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Kieron Pollard,MI,CSK,1.0,0,4,0,4.00,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Deepak Chahar,CSK,MI,4.0,0,34,0,8.50,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Josh Hazlewood,CSK,MI,2.0,0,17,0,8.50,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Imran Tahir,CSK,MI,3.0,0,22,0,7.33,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Shardul Thakur,CSK,MI,2.2,0,26,0,11.14,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Ravindra Jadeja,CSK,MI,1.0,0,15,0,15.00,chennai-super-kings-vs-mumbai-indians-41st-match-1216521,2020
Tushar Deshpande,DC,KKR,4.0,0,40,0,10.00,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Anrich Nortje,DC,KKR,4.0,0,27,2,6.75,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Kagiso Rabada,DC,KKR,4.0,0,33,2,8.25,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Axar Patel,DC,KKR,1.0,0,7,0,7.00,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Marcus Stoinis,DC,KKR,4.0,0,41,2,10.25,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Ravichandran Ashwin,DC,KKR,3.0,0,45,0,15.00,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Pat Cummins,KKR,DC,4.0,0,17,3,4.25,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Prasidh Krishna,KKR,DC,2.0,0,19,0,9.50,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Kamlesh Nagarkoti,KKR,DC,2.0,0,11,0,5.50,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Lockie Ferguson,KKR,DC,4.0,0,30,1,7.50,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Sunil Narine,KKR,DC,4.0,0,37,0,9.25,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Varun Chakravarthy,KKR,DC,4.0,0,20,5,5.00,kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497,2020
Sandeep Sharma,SRH,PBKS,4.0,0,29,2,7.25,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Khaleel Ahmed,SRH,PBKS,4.0,0,31,0,7.75,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Jason Holder,SRH,PBKS,4.0,0,27,2,6.75,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Rashid Khan,SRH,PBKS,4.0,0,14,2,3.50,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
T Natarajan,SRH,PBKS,4.0,0,23,0,5.75,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Mohammed Shami,PBKS,SRH,4.0,0,34,1,8.50,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Arshdeep Singh,PBKS,SRH,3.5,0,23,3,6.00,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Murugan Ashwin,PBKS,SRH,4.0,0,27,1,6.75,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Ravi Bishnoi,PBKS,SRH,4.0,0,13,1,3.25,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Chris Jordan,PBKS,SRH,4.0,0,17,3,4.25,kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-1216498,2020
Deepak Chahar,CSK,RCB,4.0,0,31,2,7.75,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Monu Kumar,CSK,RCB,2.0,0,20,0,10.00,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Sam Curran,CSK,RCB,3.0,0,19,3,6.33,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Mitchell Santner,CSK,RCB,4.0,0,23,1,5.75,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Imran Tahir,CSK,RCB,4.0,0,30,0,7.50,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Ravindra Jadeja,CSK,RCB,3.0,0,20,0,6.66,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Washington Sundar,RCB,CSK,4.0,0,27,0,6.75,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Chris Morris,RCB,CSK,3.4,0,36,1,9.81,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Mohammed Siraj,RCB,CSK,2.0,0,29,0,14.50,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Yuzvendra Chahal,RCB,CSK,4.0,0,21,1,5.25,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Moeen Ali,RCB,CSK,2.0,0,17,0,8.50,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Navdeep Saini,RCB,CSK,3.0,0,19,0,6.33,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,2020
Jofra Archer,RR,MI,4.0,0,31,2,7.75,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Ankit Rajpoot,RR,MI,4.0,0,60,0,15.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Kartik Tyagi,RR,MI,4.0,0,45,1,11.25,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Shreyas Gopal,RR,MI,4.0,0,30,2,7.50,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Rahul Tewatia,RR,MI,4.0,0,25,0,6.25,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Trent Boult,MI,RR,4.0,0,40,0,10.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
James Pattinson,MI,RR,3.2,0,40,2,12.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Jasprit Bumrah,MI,RR,4.0,0,38,0,9.50,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Krunal Pandya,MI,RR,2.0,0,20,0,10.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Kieron Pollard,MI,RR,2.0,0,18,0,9.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Rahul Chahar,MI,RR,3.0,0,36,0,12.00,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,2020
Glenn Maxwell,PBKS,KKR,2.0,0,21,1,10.50,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Mohammed Shami,PBKS,KKR,4.0,0,35,3,8.75,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Arshdeep Singh,PBKS,KKR,2.0,0,18,0,9.00,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Murugan Ashwin,PBKS,KKR,4.0,0,27,1,6.75,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Chris Jordan,PBKS,KKR,4.0,0,25,2,6.25,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Ravi Bishnoi,PBKS,KKR,4.0,1,20,2,5.00,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Pat Cummins,KKR,PBKS,4.0,0,31,0,7.75,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Prasidh Krishna,KKR,PBKS,3.0,0,24,0,8.00,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Varun Chakravarthy,KKR,PBKS,4.0,0,34,1,8.50,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Sunil Narine,KKR,PBKS,4.0,0,27,0,6.75,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Lockie Ferguson,KKR,PBKS,3.5,0,32,1,8.34,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,2020
Anrich Nortje,DC,SRH,4.0,0,37,1,9.25,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Kagiso Rabada,DC,SRH,4.0,0,54,0,13.50,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Ravichandran Ashwin,DC,SRH,3.0,0,35,1,11.66,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Axar Patel,DC,SRH,4.0,0,36,0,9.00,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Tushar Deshpande,DC,SRH,3.0,0,35,0,11.66,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Marcus Stoinis,DC,SRH,2.0,0,15,0,7.50,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Sandeep Sharma,SRH,DC,4.0,0,27,2,6.75,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Shahbaz Nadeem,SRH,DC,1.0,0,8,1,8.00,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Jason Holder,SRH,DC,4.0,0,46,1,11.50,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Rashid Khan,SRH,DC,4.0,0,7,3,1.75,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
T Natarajan,SRH,DC,4.0,0,26,2,6.50,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Vijay Shankar,SRH,DC,1.5,0,11,1,6.00,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
David Warner,SRH,DC,0.1,0,2,0,12.00,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,2020
Trent Boult,MI,RCB,4.0,0,40,1,10.00,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Jasprit Bumrah,MI,RCB,4.0,1,14,3,3.50,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Krunal Pandya,MI,RCB,4.0,0,27,0,6.75,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
James Pattinson,MI,RCB,3.0,0,35,0,11.66,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Rahul Chahar,MI,RCB,4.0,0,43,1,10.75,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Kieron Pollard,MI,RCB,1.0,0,5,1,5.00,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Chris Morris,RCB,MI,4.0,0,36,1,9.00,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Dale Steyn,RCB,MI,4.0,0,43,0,10.75,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Washington Sundar,RCB,MI,4.0,0,20,0,5.00,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Mohammed Siraj,RCB,MI,3.1,0,28,2,8.84,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Yuzvendra Chahal,RCB,MI,4.0,0,37,2,9.25,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,2020
Deepak Chahar,CSK,KKR,3.0,0,31,0,10.33,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Sam Curran,CSK,KKR,3.0,0,21,0,7.00,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Lungi Ngidi,CSK,KKR,4.0,0,34,2,8.50,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Mitchell Santner,CSK,KKR,3.0,0,30,1,10.00,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Ravindra Jadeja,CSK,KKR,3.0,0,20,1,6.66,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Karn Sharma,CSK,KKR,4.0,0,35,1,8.75,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Pat Cummins,KKR,CSK,4.0,0,31,2,7.75,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Kamlesh Nagarkoti,KKR,CSK,3.0,0,34,0,11.33,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Sunil Narine,KKR,CSK,4.0,0,23,0,5.75,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Lockie Ferguson,KKR,CSK,4.0,0,54,0,13.50,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Varun Chakravarthy,KKR,CSK,4.0,0,20,2,5.00,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Nitish Rana,KKR,CSK,1.0,0,16,0,16.00,chennai-super-kings-vs-kolkata-knight-riders-49th-match-1216536,2020
Jofra Archer,RR,PBKS,4.0,0,26,2,6.50,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Varun Aaron,RR,PBKS,4.0,0,47,0,11.75,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Kartik Tyagi,RR,PBKS,4.0,0,47,0,11.75,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Shreyas Gopal,RR,PBKS,1.0,0,10,0,10.00,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Ben Stokes,RR,PBKS,4.0,0,32,2,8.00,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Rahul Tewatia,RR,PBKS,3.0,0,22,0,7.33,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Arshdeep Singh,PBKS,RR,3.0,0,34,0,11.33,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Mohammed Shami,PBKS,RR,3.0,0,36,0,12.00,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Murugan Ashwin,PBKS,RR,4.0,0,43,1,10.75,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Chris Jordan,PBKS,RR,3.3,0,44,1,12.57,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Ravi Bishnoi,PBKS,RR,4.0,0,27,0,6.75,kings-xi-punjab-vs-rajasthan-royals-50th-match-1216537,2020
Trent Boult,MI,DC,4.0,0,21,3,5.25,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Krunal Pandya,MI,DC,3.0,0,13,0,4.33,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Jayant Yadav,MI,DC,3.0,0,18,0,6.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Jasprit Bumrah,MI,DC,4.0,0,17,3,4.25,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Nathan Coulter-Nile,MI,DC,2.0,0,14,1,7.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Rahul Chahar,MI,DC,4.0,0,24,1,6.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Ravichandran Ashwin,DC,MI,4.0,0,18,0,4.50,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Kagiso Rabada,DC,MI,3.0,0,27,0,9.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Anrich Nortje,DC,MI,2.2,0,25,1,10.71,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Marcus Stoinis,DC,MI,1.0,0,4,0,4.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Praveen Dubey,DC,MI,3.0,0,29,0,9.66,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Harshal Patel,DC,MI,1.0,0,8,0,8.00,delhi-capitals-vs-mumbai-indians-51st-match-1216535,2020
Sandeep Sharma,SRH,RCB,4.0,0,20,2,5.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Jason Holder,SRH,RCB,4.0,0,27,2,6.75,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
T Natarajan,SRH,RCB,4.0,0,11,1,2.75,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Shahbaz Nadeem,SRH,RCB,4.0,0,35,1,8.75,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Rashid Khan,SRH,RCB,4.0,0,24,1,6.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Chris Morris,RCB,SRH,2.0,0,19,0,9.50,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Washington Sundar,RCB,SRH,3.0,0,21,1,7.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Navdeep Saini,RCB,SRH,2.0,0,30,1,15.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Mohammed Siraj,RCB,SRH,1.0,0,12,0,12.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Yuzvendra Chahal,RCB,SRH,3.1,0,19,2,6.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Isuru Udana,RCB,SRH,3.0,0,20,1,6.66,royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1216502,2020
Deepak Chahar,CSK,PBKS,3.0,0,30,0,10.00,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Sam Curran,CSK,PBKS,2.0,0,15,0,7.50,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Shardul Thakur,CSK,PBKS,4.0,0,27,1,6.75,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Lungi Ngidi,CSK,PBKS,4.0,0,39,3,9.75,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Imran Tahir,CSK,PBKS,4.0,0,24,1,6.00,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Ravindra Jadeja,CSK,PBKS,3.0,0,17,1,5.66,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
James Neesham,PBKS,CSK,3.0,0,26,0,8.66,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Mohammed Shami,PBKS,CSK,4.0,0,29,0,7.25,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Chris Jordan,PBKS,CSK,3.0,0,31,1,10.33,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Ravi Bishnoi,PBKS,CSK,4.0,0,39,0,9.75,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Murugan Ashwin,PBKS,CSK,4.0,0,17,0,4.25,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Chris Gayle,PBKS,CSK,0.5,0,5,0,6.00,chennai-super-kings-vs-kings-xi-punjab-53rd-match-1216506,2020
Jofra Archer,RR,KKR,4.0,0,19,1,4.75,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Varun Aaron,RR,KKR,2.0,0,22,0,11.00,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Shreyas Gopal,RR,KKR,3.0,0,44,1,14.66,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Ben Stokes,RR,KKR,3.0,0,40,0,13.33,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Rahul Tewatia,RR,KKR,4.0,0,25,3,6.25,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Kartik Tyagi,RR,KKR,4.0,0,36,2,9.00,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Pat Cummins,KKR,RR,4.0,0,34,4,8.50,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Shivam Mavi,KKR,RR,4.0,1,15,2,3.75,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Varun Chakravarthy,KKR,RR,4.0,0,20,2,5.00,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Sunil Narine,KKR,RR,4.0,0,37,0,9.25,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Kamlesh Nagarkoti,KKR,RR,4.0,0,24,1,6.00,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1216530,2020
Daniel Sams,DC,RCB,4.0,0,40,0,10.00,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Ravichandran Ashwin,DC,RCB,4.0,0,18,1,4.50,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Anrich Nortje,DC,RCB,4.0,0,33,3,8.25,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Kagiso Rabada,DC,RCB,4.0,0,30,2,7.50,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Axar Patel,DC,RCB,4.0,0,30,0,7.50,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Chris Morris,RCB,DC,2.0,0,19,0,9.50,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Mohammed Siraj,RCB,DC,3.0,0,29,1,9.66,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Washington Sundar,RCB,DC,4.0,0,24,1,6.00,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Isuru Udana,RCB,DC,2.0,0,24,0,12.00,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Yuzvendra Chahal,RCB,DC,4.0,0,29,0,7.25,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Shahbaz Ahmed,RCB,DC,4.0,0,26,2,6.50,delhi-capitals-vs-royal-challengers-bangalore-55th-match-1216505,2020
Sandeep Sharma,SRH,MI,4.0,0,34,3,8.50,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Jason Holder,SRH,MI,4.0,0,25,2,6.25,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Shahbaz Nadeem,SRH,MI,4.0,0,19,2,4.75,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
T Natarajan,SRH,MI,4.0,0,38,0,9.50,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Rashid Khan,SRH,MI,4.0,0,32,1,8.00,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Dhawal Kulkarni,MI,SRH,3.0,0,22,0,7.33,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Nathan Coulter-Nile,MI,SRH,4.0,0,27,0,6.75,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
James Pattinson,MI,SRH,3.0,0,29,0,9.66,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Rahul Chahar,MI,SRH,4.0,0,36,0,9.00,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Krunal Pandya,MI,SRH,3.1,0,37,0,11.68,sunrisers-hyderabad-vs-mumbai-indians-56th-match-1216495,2020
Daniel Sams,DC,MI,4.0,0,44,0,11.00,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Ravichandran Ashwin,DC,MI,4.0,0,29,3,7.25,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Kagiso Rabada,DC,MI,4.0,0,42,0,10.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Axar Patel,DC,MI,3.0,0,27,0,9.00,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Anrich Nortje,DC,MI,4.0,0,50,1,12.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Marcus Stoinis,DC,MI,1.0,0,5,1,5.00,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Trent Boult,MI,DC,2.0,1,9,2,4.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Jasprit Bumrah,MI,DC,4.0,1,14,4,3.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Krunal Pandya,MI,DC,4.0,0,22,1,5.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Nathan Coulter-Nile,MI,DC,4.0,0,27,0,6.75,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Kieron Pollard,MI,DC,4.0,0,36,1,9.00,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Rahul Chahar,MI,DC,2.0,0,35,0,17.50,delhi-capitals-vs-mumbai-indians-qualifier-1-1237177,2020
Sandeep Sharma,SRH,RCB,4.0,0,21,0,5.25,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Jason Holder,SRH,RCB,4.0,0,25,3,6.25,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
T Natarajan,SRH,RCB,4.0,0,33,2,8.25,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Shahbaz Nadeem,SRH,RCB,4.0,0,30,1,7.50,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Rashid Khan,SRH,RCB,4.0,0,22,0,5.50,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Mohammed Siraj,RCB,SRH,4.0,0,28,2,7.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Navdeep Saini,RCB,SRH,3.4,0,31,0,8.45,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Washington Sundar,RCB,SRH,2.0,0,21,0,10.50,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Adam Zampa,RCB,SRH,4.0,0,12,1,3.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Yuzvendra Chahal,RCB,SRH,4.0,0,24,1,6.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Moeen Ali,RCB,SRH,1.0,0,4,0,4.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Shivam Dube,RCB,SRH,1.0,0,7,0,7.00,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,2020
Sandeep Sharma,SRH,DC,4.0,0,30,1,7.50,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
Jason Holder,SRH,DC,4.0,0,50,1,12.50,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
Shahbaz Nadeem,SRH,DC,4.0,0,48,0,12.00,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
Rashid Khan,SRH,DC,4.0,0,26,1,6.50,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
T Natarajan,SRH,DC,4.0,0,32,0,8.00,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
Ravichandran Ashwin,DC,SRH,3.0,0,33,0,11.00,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
Kagiso Rabada,DC,SRH,4.0,0,29,4,7.25,delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-1237180,2020
