name,team,opposition,overs,maidens,runs,wickets,economy,match_id,year
Abdul Samad,SRH,CSK,4.0,0,41,1,10.25,chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516,2020
Isuru Udana,RCB,RR,4.0,0,41,2,10.25,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Washington Sundar,RCB,RR,4.0,0,20,0,5.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Navdeep Saini,RCB,RR,4.0,1,37,1,9.25,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Yuzvendra Chahal,RCB,RR,4.0,0,24,3,6.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Adam Zampa,RCB,RR,3.0,0,27,0,9.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Shivam Dube,RCB,RR,1.0,0,4,0,4.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Jofra Archer,RR,RCB,4.0,0,18,1,4.50,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Jaydev Unadkat,RR,RCB,3.0,0,31,0,10.33,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Shreyas Gopal,RR,RCB,4.0,0,27,1,6.75,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Tom Curran,RR,RCB,3.1,0,40,0,12.63,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Rahul Tewatia,RR,RCB,4.0,0,28,0,7.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Riyan Parag,RR,RCB,1.0,0,13,0,13.00,royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514,2020
Pat Cummins,KKR,DC,4.0,0,49,0,12.25,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Shivam Mavi,KKR,DC,3.0,0,40,0,13.33,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Varun Chakravarthy,KKR,DC,4.0,0,49,1,12.25,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Sunil Narine,KKR,DC,2.0,0,26,0,13.00,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Andre Russell,KKR,DC,4.0,0,29,2,7.25,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Kamlesh Nagarkoti,KKR,DC,3.0,0,35,1,11.66,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Kagiso Rabada,DC,KKR,4.0,0,51,1,12.75,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Anrich Nortje,DC,KKR,4.0,0,33,3,8.25,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Ravichandran Ashwin,DC,KKR,2.0,0,26,0,13.00,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Marcus Stoinis,DC,KKR,4.0,0,46,1,11.50,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Harshal Patel,DC,KKR,4.0,0,34,2,8.50,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Amit Mishra,DC,KKR,2.0,0,14,1,7.00,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,2020
Sandeep Sharma,SRH,MI,4.0,0,41,2,10.25,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
T Natarajan,SRH,MI,4.0,0,29,0,7.25,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Siddarth Kaul,SRH,MI,4.0,0,64,2,16.00,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Abdul Samad,SRH,MI,2.0,0,27,0,13.50,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Rashid Khan,SRH,MI,4.0,0,22,1,5.50,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Kane Williamson,SRH,MI,2.0,0,24,0,12.00,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Trent Boult,MI,SRH,4.0,0,28,2,7.00,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
James Pattinson,MI,SRH,4.0,0,29,2,7.25,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Krunal Pandya,MI,SRH,4.0,0,35,1,8.75,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Jasprit Bumrah,MI,SRH,4.0,0,41,2,10.25,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Kieron Pollard,MI,SRH,3.0,0,20,0,6.66,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Rahul Chahar,MI,SRH,1.0,0,16,0,16.00,mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538,2020
Deepak Chahar,CSK,PBKS,3.0,0,17,0,5.66,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Sam Curran,CSK,PBKS,3.0,0,31,0,10.33,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Shardul Thakur,CSK,PBKS,4.0,0,39,2,9.75,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Dwayne Bravo,CSK,PBKS,4.0,0,38,0,9.50,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Ravindra Jadeja,CSK,PBKS,4.0,0,30,1,7.50,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Piyush Chawla,CSK,PBKS,2.0,0,22,1,11.00,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Sheldon Cottrell,PBKS,CSK,3.0,0,30,0,10.00,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Mohammed Shami,PBKS,CSK,3.4,0,35,0,9.54,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Harpreet Brar,PBKS,CSK,4.0,0,41,0,10.25,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Chris Jordan,PBKS,CSK,3.0,0,42,0,14.00,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Ravi Bishnoi,PBKS,CSK,4.0,0,33,0,8.25,kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513,2020
Isuru Udana,RCB,DC,4.0,0,40,1,10.00,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Washington Sundar,RCB,DC,4.0,0,20,0,5.00,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Navdeep Saini,RCB,DC,3.0,0,48,0,16.00,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Yuzvendra Chahal,RCB,DC,3.0,0,29,0,9.66,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Mohammed Siraj,RCB,DC,4.0,0,34,2,8.50,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Moeen Ali,RCB,DC,2.0,0,21,1,10.50,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Kagiso Rabada,DC,RCB,4.0,0,24,4,6.00,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Anrich Nortje,DC,RCB,4.0,0,22,2,5.50,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Ravichandran Ashwin,DC,RCB,4.0,0,26,1,6.50,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Axar Patel,DC,RCB,4.0,0,18,2,4.50,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Harshal Patel,DC,RCB,4.0,0,43,0,10.75,royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519,2020
Ankit Rajpoot,RR,MI,3.0,0,42,0,14.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Shreyas Gopal,RR,MI,4.0,0,28,2,7.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
